edges,kruskals_adj_list,kruskals_adj_mat,lazyprims_adj_list,lazyprims_adj_mat,eagerprims_adj_list,eagerprims_adj_mat
10002,12604,143600,27509,1054823,6220,1034789
250050,347350,252851,798235,1189128,52395,1115453
625125,915720,450636,2197843,1198472,116975,1137840
1250250,1899821,768975,4570254,1211832,224513,1149109
2500500,3935408,1448063,9850363,1225510,435349,1154874
5001000,8005084,2817011,20859161,1240978,845393,1160269
7501500,11839005,4235022,32308722,1245903,1314237,1157702
8751750,14082782,4909452,38572570,1251501,1533504,1163443
10002000,16112940,5673281,43764995,1252803,1715370,1156917
11252250,17671339,6564123,50733838,1256216,2039929,1160732
